Time	P1	P2	P3
0.0	0.0	1.5	3.4
2.0	0.37927232632444574	1.415502414208591	3.3388686438923267
4.0	0.51879883285237	1.2939593865090815	3.311253389347119
6.0	0.570127735439982	1.1638468530265462	3.281739537804522
8.0	0.5890105888365448	1.0428239001324486	3.2386025285425486
10.0	0.5959571988164493	0.93683484618833	3.181073969340829
12.0	0.598512706166803	0.8467439134950503	3.112617641489337
14.0	0.5994528252319101	0.7714863550835249	3.0376894261635363
16.0	0.5997986914082052	0.7093849774854787	2.9603719382041453
18.0	0.5999259374737126	0.6586716378988429	2.8839219578467543
20.0	0.5999727515995968	0.6176813432505092	2.81071977128498
22.0	0.5999899749959494	0.5849145320491886	2.7423723845617145
24.0	0.5999963116260657	0.5590478638762078	2.679858765689827
26.0	0.5999986429642046	0.5389258736212614	2.6236718846290987
28.0	0.5999995007110489	0.5235465317345008	2.5739417761330583
30.0	0.5999998162961607	0.5120457696225539	2.5305365419568635
32.0	0.5999999324084444	0.503682779124803	2.4931428772707482
34.0	0.5999999751298608	0.4978265907365111	2.461329109846124
36.0	0.5999999908479174	0.4939439330111147	2.4345938595236873
38.0	0.5999999966319616	0.49158807917830366	2.4124029118452
40.0	0.599999998760485	0.49038874308197994	2.3942168142067866
42.0	0.5999999995438083	0.49004261613688604	2.3795108215358582
44.0	0.5999999998320925	0.4903046040251526	2.3677888064016557
46.0	0.5999999999381943	0.4909797012953331	2.3585923560675233
48.0	0.5999999999772474	0.4919155001021247	2.351506064002018
